"Temp_bin","N","Mean","SE","Q95","Q99"
0,153,355.509803921569,17.0940082624497,673.4,1056.36
1,160,205.01875,9.13233194658548,406.1,457.51
2,611,289.122749590835,6.41495525040476,579,738.4
3,426,294.3779342723,8.04975968929576,499.75,1043.25
4,377,355.68700265252,12.5173312511833,716.2,1285.72
5,320,353.95,17.2515228077104,991.8,1645.27
6,358,282.424581005587,9.23666893164481,556.3,995.94
7,511,492.802348336595,20.7436657837438,1620.5,2167.7
8,422,402.258293838863,15.6874190979319,1134.85,1485.02
9,693,738.151515151515,32.6211339513892,2601.4,2607
10,576,567.842013888889,30.461302300988,2154.25,2461.25
11,646,617.030959752322,19.3975005299579,1547.75,1894.65
12,932,356.921673819742,13.0082553286627,1226.35,1653.63
13,311,336.633440514469,16.4476192864209,730.5,1531.4
14,529,342.455576559546,15.3930308489131,1064.2,1677.88
15,565,276.003539823009,12.7296478329645,700.8,1731.16
16,1092,779.613553113553,20.3147840692721,2112.45,2501.09
17,606,408.3300330033,14.6996561112551,1165,1727.85
18,931,510.06015037594,18.7929859712673,1784,2703.8
19,1030,561.480582524272,13.9217798412681,1465.55,2165.42
20,950,377.083157894737,18.8520900820281,1611.55,2286.57
21,1067,355.180880974695,10.8077875519082,1093.9,1561.24
22,1370,589.397810218978,15.5648903251506,1787.55,2078.99
23,869,442.437284234753,13.6168721126535,1234.2,1673.44
24,732,424.685792349727,15.1471369024451,1268.15,1971.97
25,848,365.412735849057,13.1050121053928,1184.6,1726.31
26,885,319.223728813559,10.7555244864522,1018.2,1499.08
27,1100,284.054545454545,9.72515912973471,1028.3,1705.19
28,903,322.265780730897,12.7341470559284,1189.5,1733.82
29,835,215.965269461078,8.39584605852058,786.899999999999,1278.32
30,134,296.962686567164,17.4924688628888,614.35,949.06
