"Temp_bin","N","Mean","SE","Min","Max"
0,16,745.2,40.96,619,1078
1,18,413.1,9.51,370,535
2,59,585.5,14.14,487,1158
3,42,473.1,14.87,398,838
4,35,627.3,16.73,517,928
5,32,966.2,25.23,749,1267
6,48,611.2,27.92,462,1235
7,43,1293.3,39.95,840,1948
8,42,1184.3,49.05,772,2146
9,64,2665.7,63.56,2599,6670
10,58,2122.5,99.33,1486,5178
11,61,1612.1,25.11,1360,2323
12,64,1440.6,33.94,1090,2550
13,31,918.6,83.36,578,2205
14,48,994.5,59.36,589,2056
15,57,928.3,69.88,547,2476
16,94,2204.1,28,1860,3678
17,57,1065,44.65,719,2047
18,88,1974.4,53.3,1366,3265
19,103,1614.1,49.54,1085,3622
20,96,1473.6,89.62,778,7831
21,131,899.7,26.59,611,2457
22,82,845.7,31.05,574,2013
23,82,1141,24.48,915,2040
24,68,1290.1,49.69,844,2834
25,69,1013.5,39.38,672,1968
26,85,1078.9,32.48,714,2009
27,103,1129.9,35.91,664,2186
28,84,1205.4,44.33,696,2197
29,85,808.2,36.9,405,1744
30,10,780.1,58.5,599,1141
